Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
2012,Total,Male,Toowoomba,City proper,Estimate - de jure,"Final figure, complete",2014,53632,4
2012,Total,Male,Townsville,City proper,Estimate - de jure,"Final figure, complete",2014,85994,4
2012,Total,Male,Wollongong,City proper,Estimate - de jure,"Final figure, complete",2014,141201,4
2012,Total,Female,Adelaide,City proper,Estimate - de jure,"Final figure, complete",2014,636282,4
2012,Total,Female,Brisbane,City proper,Estimate - de jure,"Final figure, complete",2014,1055732,4
2012,Total,Female,Cairns,City proper,Estimate - de jure,"Final figure, complete",2014,71582,4
2012,Total,Female,Canberra-Queanbeyan,City proper,Estimate - de jure,"Final figure, complete",2014,206733,4
2012,Total,Female,Central Coast,City proper,Estimate - de jure,"Final figure, complete",2014,163360,4
2012,Total,Female,Darwin,City proper,Estimate - de jure,"Final figure, complete",2014,55417,4
2012,Total,Female,Geelong,City proper,Estimate - de jure,"Final figure, complete",2014,90893,4
2012,Total,Female,Gold Coast-Tweed Heads,City proper,Estimate - de jure,"Final figure, complete",2014,301792,4
2012,Total,Female,Greater Adelaide,City proper,Estimate - de jure,"Final figure, complete",2014,649983,4
2012,Total,Female,Greater Brisbane,City proper,Estimate - de jure,"Final figure, complete",2014,1101583,4
2012,Total,Female,Greater Darwin,City proper,Estimate - de jure,"Final figure, complete",2014,62938,4
2012,Total,Female,Greater Hobart,City proper,Estimate - de jure,"Final figure, complete",2014,109638,4
2012,Total,Female,Greater Melbourne,City proper,Estimate - de jure,"Final figure, complete",2014,2150335,4
2012,Total,Female,Greater Perth,City proper,Estimate - de jure,"Final figure, complete",2014,950411,4
2012,Total,Female,Greater Sydney,City proper,Estimate - de jure,"Final figure, complete",2014,2355888,4
2012,Total,Female,Hobart,City proper,Estimate - de jure,"Final figure, complete",2014,104074,4
2012,Total,Female,Melbourne,City proper,Estimate - de jure,"Final figure, complete",2014,2069119,4
2012,Total,Female,Newcastle-Maitland,City proper,Estimate - de jure,"Final figure, complete",2014,212198,4
2012,Total,Female,Perth,City proper,Estimate - de jure,"Final figure, complete",2014,918193,4
2012,Total,Female,Sunshine Coast,City proper,Estimate - de jure,"Final figure, complete",2014,147085,4
2012,Total,Female,Sydney,City proper,Estimate - de jure,"Final figure, complete",2014,2162088,4
2012,Total,Female,Toowoomba,City proper,Estimate - de jure,"Final figure, complete",2014,57223,4
2012,Total,Female,Townsville,City proper,Estimate - de jure,"Final figure, complete",2014,85830,4
2012,Total,Female,Wollongong,City proper,Estimate - de jure,"Final figure, complete",2014,142042,4
2013,Total,Both Sexes,Bregenz,City proper,Estimate - de jure,"Final figure, complete",2013,28072,
2013,Total,Both Sexes,Eisenstadt,City proper,Estimate - de jure,"Final figure, complete",2013,13351,
2013,Total,Both Sexes,Graz,City proper,Estimate - de jure,"Final figure, complete",2013,265778,
2013,Total,Both Sexes,Innsbruck,City proper,Estimate - de jure,"Final figure, complete",2013,122458,
2013,Total,Both Sexes,Klagenfurt,City proper,Estimate - de jure,"Final figure, complete",2013,95450,
2013,Total,Both Sexes,Linz,City proper,Estimate - de jure,"Final figure, complete",2013,191501,
2013,Total,Both Sexes,Salzburg,City proper,Estimate - de jure,"Final figure, complete",2013,145871,
2013,Total,Both Sexes,Sankt P̦lten,City proper,Estimate - de jure,"Final figure, complete",2013,51926,
2013,Total,Both Sexes,WIEN,City proper,Estimate - de jure,"Final figure, complete",2013,1741246,
2013,Total,Male,Bregenz,City proper,Estimate - de jure,"Final figure, complete",2013,13479,
2013,Total,Male,Eisenstadt,City proper,Estimate - de jure,"Final figure, complete",2013,6385,
2013,Total,Male,Graz,City proper,Estimate - de jure,"Final figure, complete",2013,128604,
2013,Total,Male,Innsbruck,City proper,Estimate - de jure,"Final figure, complete",2013,58532,
2013,Total,Male,Klagenfurt,City proper,Estimate - de jure,"Final figure, complete",2013,44634,
2013,Total,Male,Linz,City proper,Estimate - de jure,"Final figure, complete",2013,91358,
2013,Total,Male,Salzburg,City proper,Estimate - de jure,"Final figure, complete",2013,68755,
2013,Total,Male,Sankt P̦lten,City proper,Estimate - de jure,"Final figure, complete",2013,25148,
2013,Total,Male,WIEN,City proper,Estimate - de jure,"Final figure, complete",2013,836116,
2013,Total,Female,Bregenz,City proper,Estimate - de jure,"Final figure, complete",2013,14593,
2013,Total,Female,Eisenstadt,City proper,Estimate - de jure,"Final figure, complete",2013,6966,
2013,Total,Female,Graz,City proper,Estimate - de jure,"Final figure, complete",2013,137174,
2013,Total,Female,Innsbruck,City proper,Estimate - de jure,"Final figure, complete",2013,63926,
2013,Total,Female,Klagenfurt,City proper,Estimate - de jure,"Final figure, complete",2013,50816,
2013,Total,Female,Linz,City proper,Estimate - de jure,"Final figure, complete",2013,100143,
2013,Total,Female,Salzburg,City proper,Estimate - de jure,"Final figure, complete",2013,77116,
2013,Total,Female,Sankt P̦lten,City proper,Estimate - de jure,"Final figure, complete",2013,26778,
2013,Total,Female,WIEN,City proper,Estimate - de jure,"Final figure, complete",2013,905130,
2012,Total,Both Sexes,Bregenz,City proper,Estimate - de jure,"Final figure, complete",2012,28007,
2012,Total,Both Sexes,Eisenstadt,City proper,Estimate - de jure,"Final figure, complete",2012,13165,
2012,Total,Both Sexes,Graz,City proper,Estimate - de jure,"Final figure, complete",2012,265318,
2012,Total,Both Sexes,Innsbruck,City proper,Estimate - de jure,"Final figure, complete",2012,121329,
2012,Total,Both Sexes,Klagenfurt,City proper,Estimate - de jure,"Final figure, complete",2012,94796,
2012,Total,Both Sexes,Linz,City proper,Estimate - de jure,"Final figure, complete",2012,191107,
2012,Total,Both Sexes,Salzburg,City proper,Estimate - de jure,"Final figure, complete",2012,148521,
2012,Total,Both Sexes,Sankt P̦lten,City proper,Estimate - de jure,"Final figure, complete",2012,52048,
2012,Total,Both Sexes,WIEN,City proper,Estimate - de jure,"Final figure, complete",2012,1731236,
2012,Total,Male,Bregenz,City proper,Estimate - de jure,"Final figure, complete",2012,13431,
2012,Total,Male,Eisenstadt,City proper,Estimate - de jure,"Final figure, complete",2012,6284,
2012,Total,Male,Graz,City proper,Estimate - de jure,"Final figure, complete",2012,128268,
2012,Total,Male,Innsbruck,City proper,Estimate - de jure,"Final figure, complete",2012,57934,
2012,Total,Male,Klagenfurt,City proper,Estimate - de jure,"Final figure, complete",2012,44364,
2012,Total,Male,Linz,City proper,Estimate - de jure,"Final figure, complete",2012,91151,
2012,Total,Male,Salzburg,City proper,Estimate - de jure,"Final figure, complete",2012,70264,
2012,Total,Male,Sankt P̦lten,City proper,Estimate - de jure,"Final figure, complete",2012,25188,
2012,Total,Male,WIEN,City proper,Estimate - de jure,"Final figure, complete",2012,830937,
2012,Total,Female,Bregenz,City proper,Estimate - de jure,"Final figure, complete",2012,14576,
2012,Total,Female,Eisenstadt,City proper,Estimate - de jure,"Final figure, complete",2012,6881,
2012,Total,Female,Graz,City proper,Estimate - de jure,"Final figure, complete",2012,137050,
2012,Total,Female,Innsbruck,City proper,Estimate - de jure,"Final figure, complete",2012,63395,
2012,Total,Female,Klagenfurt,City proper,Estimate - de jure,"Final figure, complete",2012,50432,
2012,Total,Female,Linz,City proper,Estimate - de jure,"Final figure, complete",2012,99956,
2012,Total,Female,Salzburg,City proper,Estimate - de jure,"Final figure, complete",2012,78257,
2012,Total,Female,Sankt P̦lten,City proper,Estimate - de jure,"Final figure, complete",2012,26860,
2012,Total,Female,WIEN,City proper,Estimate - de jure,"Final figure, complete",2012,900299,
2012,Total,Both Sexes,BAKU,City proper,Estimate - de facto,"Final figure, complete",2013,2136595,
2012,Total,Both Sexes,Ganja,City proper,Estimate - de facto,"Final figure, complete",2013,322030,
2012,Total,Both Sexes,Sumgayit,City proper,Estimate - de facto,"Final figure, complete",2013,321957,
2012,Total,Male,BAKU,City proper,Estimate - de facto,"Final figure, complete",2013,1058798,
2012,Total,Male,Ganja,City proper,Estimate - de facto,"Final figure, complete",2013,156296,
2012,Total,Male,Sumgayit,City proper,Estimate - de facto,"Final figure, complete",2013,158111,
